Professione,% donne,Fonte
chimico,28.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
fisico,28.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
informatico,11.2,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
avvocato,47.2,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
consulente del lavoro,45.8,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
radiologo,43.6,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
attuario,42.0,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
notaio,33.6,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
commercialista,31.8,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
agrotecnico,14.5,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
spedizioniere doganale,11.2,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
giornalista,45.3,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
veterinario,59.2,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
agente di commercio,11.8,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
psicologo,82.9,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
assistente sociale,93.1,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
linguista,59.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
letterato,59.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
tessitore,48.5,https://www.ares20.it/pdf/societa_lavoro/occupazione_femminile_nel_tessile_abbigliamento_italiano.pdf
cucitore,71.4,https://www.ares20.it/pdf/societa_lavoro/occupazione_femminile_nel_tessile_abbigliamento_italiano.pdf
pellettiere,48.5,https://www.ares20.it/pdf/societa_lavoro/occupazione_femminile_nel_tessile_abbigliamento_italiano.pdf
insegnante,82.7,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
maestro,96.4,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
professore,71.9,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
preside,66.2,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
allenatore,30.9,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
ristoratore,52.0,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=2ahUKEwjSuMKagdvoAhWTO8AKHZA1DsUQFjABegQIChAD&url=https%3A%2F%2Fwww.fipe.it%2Fcentro-studi%2Fcentro-studi-2011.html%3Fdownload%3D196%3Anota-informativa-il-lavoro-delle-donne-focus-sulla-ristorazione&usg=AOvVaw3lWBsvu3ZyMhaFPe_QD1SH
barista,61.1,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=2ahUKEwjSuMKagdvoAhWTO8AKHZA1DsUQFjABegQIChAD&url=https%3A%2F%2Fwww.fipe.it%2Fcentro-studi%2Fcentro-studi-2011.html%3Fdownload%3D196%3Anota-informativa-il-lavoro-delle-donne-focus-sulla-ristorazione&usg=AOvVaw3lWBsvu3ZyMhaFPe_QD1SH
cameriere,51.4,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=2ahUKEwjSuMKagdvoAhWTO8AKHZA1DsUQFjABegQIChAD&url=https%3A%2F%2Fwww.fipe.it%2Fcentro-studi%2Fcentro-studi-2011.html%3Fdownload%3D196%3Anota-informativa-il-lavoro-delle-donne-focus-sulla-ristorazione&usg=AOvVaw3lWBsvu3ZyMhaFPe_QD1SH
pittore,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
scultore,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
restauratore,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
regista,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
attore,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
ballerino,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
musicista,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
cantante,34.0,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
segretario,45.1,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
albergatore,50.6,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
parrucchiere,71.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
estetista,71.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
massaggiatore,71.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
medico,43.7,https://www.lastampa.it/salute/2019/03/08/news/giovani-medici-le-donne-sono-il-doppio-degli-uomini-specie-fra-chirurghi-e-dentisti-1.33686314?refresh_ce
ostetrica,98.3,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
infermiere,77.0,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
primario,15.0,https://www.diversity-management.it/2018/06/06/donne-medico-crescita-primari-ancora-prevalenza-uomini/
dentista,35.2,https://www.lastampa.it/salute/2019/03/08/news/giovani-medici-le-donne-sono-il-doppio-degli-uomini-specie-fra-chirurghi-e-dentisti-1.33686314?refresh_ce
badante,87.8,https://www.repubblica.it/economia/miojob/lavoro/2016/08/16/news/professione_badante_in_crescita_la_quota_di_uomini-146076012/
farmacista,69.2,https://www.quotidianosanita.it/lavoro-e-professioni/articolo.php?articolo_id=48515
dietista,76.3,almalaurea
igienista,73.7,almalaurea
geologo,39.8,almalaurea
biologo,71.4,almalaurea
zoologo,70.5,almalaurea
filosofo,51.9,almalaurea
